timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1700108240203,12409,HTTP Request,200,OK,Thread Group 1-30,text,true,,129630,118,100,100,https://www.cricbuzz.com/,11878,0,11619
1700108239108,13506,HTTP Request,200,OK,Thread Group 1-8,text,true,,129630,118,100,100,https://www.cricbuzz.com/,12936,0,12726
1700108240350,12276,HTTP Request,200,OK,Thread Group 1-33,text,true,,129630,118,100,100,https://www.cricbuzz.com/,11721,0,11514
1700108242094,10535,HTTP Request,200,OK,Thread Group 1-68,text,true,,129630,118,100,100,https://www.cricbuzz.com/,9975,0,9761
1700108241696,10938,HTTP Request,200,OK,Thread Group 1-60,text,true,,129630,118,100,100,https://www.cricbuzz.com/,10373,0,10156
1700108242143,10496,HTTP Request,200,OK,Thread Group 1-69,text,true,,129630,118,100,100,https://www.cricbuzz.com/,9953,0,9709
1700108241545,11102,HTTP Request,200,OK,Thread Group 1-57,text,true,,129630,118,100,100,https://www.cricbuzz.com/,10618,0,10313
1700108242494,10161,HTTP Request,200,OK,Thread Group 1-76,text,true,,129630,118,100,100,https://www.cricbuzz.com/,9603,0,9390
1700108242194,10462,HTTP Request,200,OK,Thread Group 1-70,text,true,,129630,118,100,100,https://www.cricbuzz.com/,9852,0,9577
1700108242994,9672,HTTP Request,200,OK,Thread Group 1-86,text,true,,129630,118,100,100,https://www.cricbuzz.com/,9039,0,8875
1700108241801,10655,HTTP Request,200,OK,Thread Group 1-62,text,true,,129630,118,100,100,https://www.cricbuzz.com/,10030,0,9931
1700108239590,13081,HTTP Request,200,OK,Thread Group 1-18,text,true,,129630,118,100,100,https://www.cricbuzz.com/,12479,0,12308
1700108241096,11580,HTTP Request,200,OK,Thread Group 1-48,text,true,,129630,118,100,100,https://www.cricbuzz.com/,11003,0,10804
1700108239178,13503,HTTP Request,200,OK,Thread Group 1-10,text,true,,129630,118,100,100,https://www.cricbuzz.com/,12890,0,12719
1700108239028,13665,HTTP Request,200,OK,Thread Group 1-7,text,true,,129630,118,98,98,https://www.cricbuzz.com/,13059,0,12890
1700108243143,9557,HTTP Request,200,OK,Thread Group 1-89,text,true,,129630,118,97,97,https://www.cricbuzz.com/,8917,0,8657
1700108240046,12664,HTTP Request,200,OK,Thread Group 1-27,text,true,,129630,118,96,96,https://www.cricbuzz.com/,12053,0,11866
1700108239697,13016,HTTP Request,200,OK,Thread Group 1-20,text,true,,129630,118,96,96,https://www.cricbuzz.com/,12410,0,12229
1700108242392,10327,HTTP Request,200,OK,Thread Group 1-74,text,true,,129630,118,94,94,https://www.cricbuzz.com/,9702,0,9507
